nodeType;properties;superTypes;childNodes;abstract;package;filename;location;
Neoslive.Nodeform:CompareUserInput;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime, operand, value, valuekey, operator, calculation;Neoslive.Nodeform:CompareMixin;;0;Neoslive.Nodeform;NodeTypes.CompareUserInput.yaml;Application;
Neoslive.Nodeform:Condition;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:AppConditionsMixin;constraints: Neoslive.Nodeform:Constraints, then: Neoslive.Nodeform:Then, else: Neoslive.Nodeform:Else;1;Neoslive.Nodeform;NodeTypes.FinisherMail.yaml;Application;
Neoslive.Nodeform:ConditionContent;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:Condition;;0;Neoslive.Nodeform;NodeTypes.Conditions.yaml;Application;
Neoslive.Nodeform:ConditionInFormSelect;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:AppConditionsMixin;constraints: Neoslive.Nodeform:ConstraintsInFormSelect, then: Neoslive.Nodeform:ThenInFormSelect, else: Neoslive.Nodeform:ElseInFormSelect;0;Neoslive.Nodeform;NodeTypes.Conditions.yaml;Application;
Neoslive.Nodeform:Then;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.FinisherMail.yaml;Application;
Neoslive.Nodeform:ThenInFormSelect;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.Conditions.yaml;Application;
Neoslive.Nodeform:Else;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.FinisherMail.yaml;Application;
Neoslive.Nodeform:ElseInFormSelect;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.Conditions.yaml;Application;
Neoslive.Nodeform:Constraints;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.Mixins.yaml;Application;
Neoslive.Nodeform:ConstraintsInFormSelect;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;Neoslive.Nodeform:Constraints, Neoslive.Nodeform:ContentMixin, Neoslive.Nodeform:ContentCollection;;0;Neoslive.Nodeform;NodeTypes.Conditions.yaml;Application;
